csv_number,num_players,start_number,end_number,date,num_teama,num_teamb,teama_players,teamb_players,venue
64883,22,924,945,2004-03-19,11,11,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'R Dravid', 'SC Ganguly', 'Yuvraj Singh', 'M Kaif', 'RR Powar', 'IK Pathan', 'L Balaji', 'Z Khan']","['Yasir Hameed', 'Shahid Afridi', 'Yousuf Youhana', 'Younis Khan', 'Shoaib Malik', 'Inzamam-ul-Haq', 'Abdul Razzaq', 'Moin Khan', 'Shabbir Ahmed', 'Mohammad Sami', 'Shoaib Akhtar']",Arbab Niaz Stadium
64884,22,946,967,2004-03-21,11,11,"['Yasir Hameed', 'Shahid Afridi', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Abdul Razzaq', 'Moin Khan', 'Shoaib Malik', 'Shoaib Akhtar', 'Mohammad Sami', 'Shabbir Ahmed']","['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'SC Ganguly', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'M Kartik', 'IK Pathan', 'L Balaji', 'Z Khan']",Gaddafi Stadium
64885,22,968,989,2004-03-24,11,11,"['V Sehwag', 'SR Tendulkar', 'VVS Laxman', 'SC Ganguly', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'IK Pathan', 'L Balaji', 'M Kartik', 'Z Khan']","['Yasir Hameed', 'Taufeeq Umar', 'Yousuf Youhana', 'Inzamam-ul-Haq', 'Younis Khan', 'Shoaib Malik', 'Abdul Razzaq', 'Moin Khan', 'Mohammad Sami', 'Shoaib Akhtar', 'Shabbir Ahmed']",Gaddafi Stadium
64887,22,990,1011,2004-04-20,11,11,"['V Sibanda', 'BRM Taylor', 'DD Ebrahim', 'T Taibu', 'E Chigumbura', 'S Matsikenyeri', 'A Maregwede', 'ML Nkala', 'T Panyangara', 'DT Hondo', 'P Utseya']","['ST Jayasuriya', 'MS Atapattu', 'KC Sangakkara', 'DPMD Jayawardene', 'DNT Zoysa', 'TM Dilshan', 'KMDN Kulasekara', 'M Muralitharan', 'WPUJC Vaas', 'RP Arnold', 'UDU Chandana']",Queens Sports Club
64889,22,1012,1033,2004-04-24,11,11,"['CH Gayle', 'S Chanderpaul', 'RL Powell', 'RR Sarwan', 'BC Lara', 'DR Smith', 'M Dillon', 'RD Jacobs', 'DJ Bravo', 'CD Collymore', 'R Rampaul']","['JM Anderson', 'D Gough', 'R Clarke', 'PD Collingwood', 'ME Trescothick', 'A Flintoff', 'MP Vaughan', 'CMW Read', 'AJ Strauss', 'SJ Harmison', 'ID Blackwell']",Queen's Park Oval
64891,22,1034,1055,2004-04-27,11,11,"['WS Jayantha', 'KC Sangakkara', 'DPMD Jayawardene', 'RP Arnold', 'TM Dilshan', 'SHT Kandamby', 'UDU Chandana', 'MF Maharoof', 'HMRKB Herath', 'CRD Fernando', 'KMDN Kulasekara']","['S Matsikenyeri', 'BRM Taylor', 'ML Nkala', 'DD Ebrahim', 'T Taibu', 'A Maregwede', 'E Chigumbura', 'P Utseya', 'T Mupariwa', 'DT Hondo', 'T Panyangara']",Harare Sports Club
64894,22,1056,1077,2004-05-02,11,11,"['ME Trescothick', 'MP Vaughan', 'AJ Strauss', 'A Flintoff', 'PD Collingwood', 'CMW Read', 'R Clarke', 'GJ Batty', 'D Gough', 'SJ Harmison', 'JM Anderson']","['CH Gayle', 'S Chanderpaul', 'RL Powell', 'RR Sarwan', 'BC Lara', 'DR Smith', 'DJ Bravo', 'RD Jacobs', 'IDR Bradshaw', 'R Rampaul', 'M Dillon']",Daren Sammy National Cricket Stadium
64896,22,1078,1099,2004-05-15,11,11,"['Shahriar Hossain', 'Manjural Islam Rana', 'Habibul Bashar', 'Rajin Saleh', 'Mohammad Ashraful', 'Alok Kapali', 'Mushfiqur Rahman', 'Khaled Mashud', 'Khaled Mahmud', 'Mohammad Rafique', 'Tapash Baisya']","['CH Gayle', 'RL Powell', 'SC Joseph', 'S Chanderpaul', 'RR Sarwan', 'DJ Bravo', 'DR Smith', 'RD Jacobs', 'IDR Bradshaw', 'TL Best', 'FH Edwards']",Arnos Vale Ground
64897,22,1100,1121,2004-05-16,11,11,"['CH Gayle', 'RL Powell', 'DR Smith', 'S Chanderpaul', 'RR Sarwan', 'DJ Bravo', 'RD Jacobs', 'SC Joseph', 'IDR Bradshaw', 'TL Best', 'FH Edwards']","['Hannan Sarkar', 'Mohammad Ashraful', 'Habibul Bashar', 'Rajin Saleh', 'Alok Kapali', 'Mushfiqur Rahman', 'Manjural Islam Rana', 'Khaled Mahmud', 'Khaled Mashud', 'Mohammad Rafique', 'Tapash Baisya']",Arnos Vale Ground
64898,22,1122,1143,2004-05-19,11,11,"['Hannan Sarkar', 'Mohammad Ashraful', 'Habibul Bashar', 'Rajin Saleh', 'Faisal Hossain', 'Mushfiqur Rahman', 'Khaled Mahmud', 'Manjural Islam Rana', 'Khaled Mashud', 'Mohammad Rafique', 'Tapash Baisya']","['RL Powell', 'DS Smith', 'DR Smith', 'S Chanderpaul', 'RR Sarwan', 'SC Joseph', 'DJ Bravo', 'RD Jacobs', 'IDR Bradshaw', 'R Rampaul', 'TL Best']",National Cricket Stadium
64899,22,1144,1165,2004-05-25,11,11,"['S Matsikenyeri', 'BRM Taylor', 'V Sibanda', 'DD Ebrahim', 'T Taibu', 'MA Vermeulen', 'A Maregwede', 'ML Nkala', 'T Panyangara', 'T Mupariwa', 'DT Hondo']","['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'MJ Clarke', 'DS Lehmann', 'A Symonds', 'JN Gillespie', 'MS Kasprowicz', 'BA Williams', 'GD McGrath']",Harare Sports Club
64900,22,1166,1187,2004-05-27,11,11,"['AC Gilchrist', 'ML Hayden', 'MJ Clarke', 'DS Lehmann', 'IJ Harvey', 'GB Hogg', 'DR Martyn', 'RT Ponting', 'JN Gillespie', 'MS Kasprowicz', 'GD McGrath']","['S Matsikenyeri', 'BRM Taylor', 'V Sibanda', 'MA Vermeulen', 'T Taibu', 'A Maregwede', 'DD Ebrahim', 'T Panyangara', 'T Mupariwa', 'W Mwayenga', 'DT Hondo']",Harare Sports Club
