venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-15,27.6983,85.3109,13.0,0.0,6.7
Eden Park,2010-03-11,-36.8427,174.766,19.5,0.0,26.4
Providence Stadium,2007-04-03,18.9389,72.8258,30.8,,
Chittagong Divisional Stadium,2008-03-09,22.2311,91.7605,25.3,0.0,
Kingsmead,2008-02-01,-29.8567,31.0269,25.3,,8.2
Westpac Stadium,2017-02-25,-41.2885,174.7806,18.0,0.0,24.6
Dubai International Cricket Stadium,2022-04-09,18.9389,72.8258,30.4,0.0,6.8
Kennington Oval,2019-05-08,51.48,-0.1195,11.8,4.3,17.8
Harare Sports Club,2015-07-12,-17.815,31.0456,14.6,,
McLean Park,2012-02-29,-40.7122,176.8478,,,
Western Australia Cricket Association Ground,2009-02-01,-31.9286,115.8628,29.0,0.4,
"Kensington Oval, Bridgetown",2016-06-19,13.1039,-59.6178,26.2,,29.1
"Bundaberg Rum Stadium, Cairns",2003-08-02,-16.9213,145.7634,,,
"Gaddafi Stadium, Lahore",2003-10-03,31.5299,74.3086,28.1,0.0,5.2
R Premadasa Stadium,2014-11-29,6.9269,79.8612,25.8,2.0,
"ICC Academy, Dubai",2022-03-08,25.0758,55.165,28.6,0.0,24.2
"Sedgars Park, Potchefstroom",2023-09-12,-26.7153,27.1216,12.4,0.0,18.1
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-10-02,23.6344,58.5624,31.4,,11.3
Harare Sports Club,2023-07-01,-17.815,31.0456,15.7,0.0,12.1
Gaddafi Stadium,2007-10-18,31.5299,74.344,24.6,0.0,3.1
Mangaung Oval,2016-02-03,-29.1136,26.2181,25.1,,16.2
Dubai Sports City Cricket Stadium,2009-04-24,25.0875,55.1936,27.9,0.0,9.5
"The Village, Malahide",2019-05-13,53.4071,-6.1826,12.7,0.0,13.5
Senwes Park,2018-05-04,-26.7036,27.9122,,,
Melbourne Cricket Ground,2013-02-10,-37.822,144.9635,17.9,4.4,
New Wanderers Stadium,2009-04-17,-18.9389,30.7545,,,
Maple Leaf North-West Ground,2009-08-19,43.9526595227,-79.5051529794,22.1,0.0,8.7
