venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
Rawalpindi Cricket Stadium,2006-02-11,33.5833,73.05,17.6,,1.1
Harare Sports Club,2003-11-26,-17.815,31.0456,25.2,,
"Sunrise Sports Club, Harare",2021-11-27,-17.8279,31.0522,18.8,,14.4
Dubai International Cricket Stadium,2023-02-23,18.9389,72.8258,25.4,0.0,3.3
De Beers Diamond Oval,2013-01-22,-18.9389,25.8369,,,
Gymkhana Club Ground,2007-10-20,18.9389,72.8258,29.2,,
Brabourne Stadium,2006-11-05,18.9389,72.8258,27.4,,
Sydney Cricket Ground,2017-01-22,-33.8688,151.2093,24.2,0.0,21.9
Eden Park,2015-02-28,-36.8427,174.766,19.7,0.0,10.7
Harare Sports Club,2004-12-01,-17.815,31.0456,22.7,,
Harare Sports Club,2013-08-31,-17.815,31.0456,23.7,,
"Sabina Park, Kingston",2014-02-23,18.4814,-76.8008,,,
Sydney Cricket Ground,2011-02-02,-33.8688,151.2093,27.2,0.0,16.3
Melbourne Cricket Ground,2024-02-02,-37.822,144.9635,17.3,0.0,18.0
County Ground,2017-07-02,51.4729997747,-2.58382433136,16.0,,15.4
Old Trafford,2014-05-28,53.4627,-2.291,11.4,,16.1
Harare Sports Club,2024-01-21,-17.815,31.0456,18.4,0.6,9.3
Senwes Park,2019-05-06,-26.7036,27.9122,,,
Harare Sports Club,2024-10-26,-17.815,31.0456,23.4,0.0,13.1
Sydney Cricket Ground,2020-03-13,-33.8688,151.2093,21.5,0.0,16.7
"Bay Oval, Mount Maunganui",2022-03-18,-37.6833,176.1667,16.7,0.0,10.8
Feroz Shah Kotla,2006-03-28,28.63,77.2267,22.4,,13.8
The Rose Bowl,2020-07-30,34.1425,-118.1097,24.8,0.0,8.3
"Zayed Cricket Stadium, Abu Dhabi",2024-10-04,24.476,54.3742,33.3,0.0,12.1
Willowmoore Park,2006-12-02,34.0087,-118.478,16.9,0.0,5.8
Pallekele International Cricket Stadium,2011-08-10,7.4833,80.65,28.3,0.0,
"SuperSport Park, Centurion",2023-09-15,-25.7906,28.2328,20.0,0.0,10.4
Rangiri Dambulla International Stadium,2010-08-16,7.89,80.8,,,
Hagley Oval,2015-01-11,-43.5328,172.6389,19.3,0.0,8.5
SuperSport Park,2009-09-22,-25.7906,28.2286,21.2,,13.6
Seddon Park,2009-03-11,-37.6817,175.2703,,,
Senwes Park,2019-02-14,-26.7036,27.9122,,,
Kinrara Academy Oval,2019-12-12,3.1236,101.6918,,,
"Basin Reserve, Wellington",2022-03-24,-41.3083,174.7767,17.5,10.7,15.6
"County Ground, Bristol",2021-06-27,51.4514,-2.5861,15.6,8.5,19.6
Rangiri Dambulla International Stadium,2010-06-18,7.89,80.8,,,
"Basin Reserve, Wellington",2022-03-27,-41.3083,174.7767,15.7,0.0,36.4
New Wanderers Stadium,2013-03-17,-18.9389,30.7545,,,
"Beausejour Stadium, Gros Islet",2007-03-18,14.0031,-60.9786,27.3,,31.3
North-West University No1 Ground,2017-05-09,,,,,
"Punjab Cricket Association Stadium, Mohali",2011-10-20,30.7348,76.7361,,,
SuperSport Park,2011-01-23,-25.7906,28.2286,20.7,0.0,6.2
Gaddafi Stadium,2008-06-26,31.5299,74.344,34.6,0.0,10.9
Brabourne Stadium,2013-02-13,18.9389,72.8258,29.6,,
National Stadium,2008-07-02,12.0554,-61.7513,,,
University Oval,2018-03-07,-18.1439,178.4358,27.0,0.0,4.2
R Premadasa Stadium,2007-10-13,6.9269,79.8612,,,
Adelaide Oval,2009-02-10,-34.9285,138.6007,16.9,0.0,22.2
"Warner Park, Basseterre",2018-07-28,17.3589,-62.7828,28.1,,24.0
Kennington Oval,2017-06-01,51.48,-0.1195,20.1,0.0,11.1
Harare Sports Club,2013-08-27,-17.815,31.0456,17.1,,
Shere Bangla National Stadium,2010-01-05,23.75,90.4,16.2,0.0,6.3
"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-08,13.0475,80.2707,28.8,0.0,13.1
Newlands,2011-01-18,-33.9969,18.4716,21.3,,19.3
"Gaddafi Stadium, Lahore",2022-03-29,31.5299,74.3086,29.8,,1.5
"Kensington Oval, Bridgetown",2007-04-13,13.1039,-59.6178,27.3,,18.4
Rangiri Dambulla International Stadium,2005-07-31,7.89,80.8,,,
"United Cricket Club Ground, Windhoek",2024-09-16,-22.5708,17.0819,20.4,0.0,9.2
National Stadium,2019-09-30,12.0554,-61.7513,29.3,,18.7
"Sabina Park, Kingston",2017-07-06,18.4814,-76.8008,,,
"Bay Oval, Mount Maunganui",2022-03-04,-37.6833,176.1667,18.5,0.0,11.3
Sharjah Cricket Stadium,2012-08-28,25.2086,55.5296,34.9,0.0,9.1
Wankhede Stadium,2011-04-02,18.9389,72.8258,27.0,,
Sheikh Zayed Stadium,2010-10-29,24.4361,54.3896,29.5,,8.8
"R.Premadasa Stadium, Khettarama",2019-07-26,6.9271,79.8612,28.6,0.0,8.5
University Oval,2015-01-23,-18.1439,178.4358,26.0,0.0,5.1
Pallekele International Cricket Stadium,2013-03-28,7.4833,80.65,29.3,0.0,
Sharjah Cricket Association Stadium,2003-04-08,25.2086,55.3645,29.2,,11.8
Sydney Cricket Ground,2015-03-18,-33.8688,151.2093,23.4,0.0,14.2
St Lawrence Ground,2005-06-30,18.5208,73.8564,23.8,55.9,
Harare Sports Club,2016-11-16,-17.815,31.0456,19.2,,
Harare Sports Club,2023-07-07,-17.815,31.0456,13.7,0.0,13.7
Bradman Oval,2014-11-16,-18.9389,143.8258,,,
"United Cricket Club Ground, Windhoek",2023-04-04,-22.5708,17.0819,23.4,0.0,11.0
Shere Bangla National Stadium,2010-01-13,23.75,90.4,13.9,0.0,5.1
County Ground,2017-07-20,51.4729997747,-2.58382433136,15.2,,20.4
Boland Park,2018-10-06,-26.12,28.1,18.4,,2.2
"North Sydney Oval, Sydney",2023-01-21,-33.8472,151.2189,21.1,1.4,14.5
Zahur Ahmed Chowdhury Stadium,2011-03-11,22.3911,91.8161,26.5,0.0,
Kennington Oval,2017-06-08,51.48,-0.1195,16.7,0.8,24.2
National Stadium,2019-10-02,12.0554,-61.7513,29.0,,16.6
Western Australia Cricket Association Ground,2012-02-08,-31.9286,115.8628,27.1,0.0,26.0
Harare Sports Club,2024-01-23,-17.815,31.0456,20.6,0.0,11.3
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-08,27.6983,85.3109,10.2,0.0,8.9
Harare Sports Club,2004-04-27,-17.815,31.0456,16.5,,
Eden Park,2015-03-07,-36.8427,174.766,20.3,2.3,19.9
Harare Sports Club,2014-09-02,-17.815,31.0456,12.3,,
Holkar Cricket Stadium,2011-12-08,23.0206,75.8726,23.2,,
"Moosa Cricket Stadium, Pearland",2022-06-14,29.51768,-95.32565,30.0,0.0,15.6
"Sir Vivian Richards Stadium, North Sound, Antigua",2024-11-02,17.75,-61.8,,,
"Cazaly's Stadium, Cairns",2022-09-11,-16.9261,145.7616,,,
"R Premadasa Stadium, Colombo",2023-09-10,6.9271,79.8612,27.7,0.0,4.5
Seddon Park,2019-01-31,-37.6817,175.2703,,,
Lord's,2004-09-04,51.5311,-0.2008,20.9,0.0,7.1
Sheikh Zayed Stadium,2013-12-25,24.4361,54.3896,19.2,,12.4
"Queen's Park Oval, Port of Spain",2007-03-25,10.6936,-61.5215,24.9,0.0,7.8
"Queen's Park Oval, Port of Spain, Trinidad",2022-07-24,10.6917,-61.5222,27.8,0.0,7.4
"Tribhuvan University International Cricket Ground, Kirtipur",2023-02-18,27.6983,85.3109,15.9,0.0,6.8
Kennington Oval,2007-09-05,51.48,-0.1195,18.1,0.0,8.5
"Shere Bangla National Stadium, Mirpur",2018-12-09,23.8233,90.3917,21.8,0.0,6.0
Gaddafi Stadium,2004-03-24,31.5299,74.344,25.2,0.0,9.3
Basin Reserve,2005-03-01,-41.2928,174.7792,13.6,1.8,23.9
Melbourne Cricket Ground,2010-11-03,-37.822,144.9635,10.8,3.5,
Bellerive Oval,2012-02-24,-18.9389,147.1861,,,
Sheikh Kamal International Cricket Stadium,2017-01-18,22.4086,91.8422,21.8,0.0,
"Hagley Oval, Christchurch",2022-11-30,-43.5389,172.6428,15.9,7.5,18.4
"Brisbane Cricket Ground, Woolloongabba",2012-03-04,-27.4705,153.0269,25.2,16.4,14.4
New Wanderers Stadium,2013-12-05,-18.9389,30.7545,,,
R Premadasa Stadium,2007-07-23,6.9269,79.8612,,,
"The Village, Malahide, Dublin",2022-07-12,53.4036,-6.1604,18.8,0.0,13.2
Bellerive Oval,2011-01-21,-18.9389,147.1861,,,
"Queen's Park Oval, Port of Spain, Trinidad",2022-07-22,10.6917,-61.5222,28.1,5.8,11.1
Allan Border Field,2019-10-07,-18.9389,149.1644,,,
"Hagley Oval, Christchurch",2023-12-15,-43.5389,172.6428,17.9,0.0,22.8
"Holkar Cricket Stadium, Indore",2023-09-24,22.7167,75.864,26.3,0.6,8.5
Rangiri Dambulla International Stadium,2010-06-19,7.89,80.8,,,
Trent Bridge,2017-09-21,52.9444,-1.1447,13.4,,18.4
"Sir Vivian Richards Stadium, North Sound, Antigua",2024-10-31,17.75,-61.8,,,
Zahur Ahmed Chowdhury Stadium,2015-07-15,22.3911,91.8161,28.6,25.9,
"National Stadium, Karachi",2023-01-11,24.9067,67.0825,22.3,0.0,17.0
"United Cricket Club Ground, Windhoek",2022-12-07,-22.5708,17.0819,22.7,0.0,10.6
Kennington Oval,2010-09-17,51.48,-0.1195,12.9,0.0,16.4
"Eden Park, Auckland",2022-11-25,-36.8474,174.7634,14.6,2.5,27.1
Basin Reserve,2016-01-25,-41.2928,174.7792,20.7,0.0,32.9
Sedgars Park,2006-11-27,,,,,
"Maharashtra Cricket Association Stadium, Pune",2023-11-11,18.5171,73.8068,24.4,0.0,6.5
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2013-11-24,17.6869,83.2119,,,
"Brisbane Cricket Ground, Woolloongabba",2012-02-21,-27.4705,153.0269,25.2,20.0,13.2
Sydney Cricket Ground,2022-11-19,-33.8688,151.2093,21.4,0.0,22.2
Harare Sports Club,2018-03-21,-17.815,31.0456,22.3,,
Shere Bangla National Stadium,2011-10-13,23.75,90.4,28.5,0.0,5.5
"The Wanderers Stadium, Johannesburg",2022-03-20,-26.2047,27.9795,17.3,0.1,6.5
Riverside Ground,2011-09-03,18.52,73.8564,23.7,14.0,
Kingsmead,2006-03-10,-29.8567,31.0269,24.5,0.5,9.6
"SuperSport Park, Centurion",2021-04-07,-25.7906,28.2328,17.3,0.3,9.9
Willowmoore Park,2006-11-30,34.0087,-118.478,12.7,0.0,8.6
"Forthill, Dundee",2024-07-26,56.48,-3.0078,15.0,0.1,18.3
The Rose Bowl,2004-09-15,34.1425,-118.1097,23.3,0.0,9.4
SuperSport Park,2013-12-11,-25.7906,28.2286,18.9,25.9,7.3
"Newlands, Cape Town",2022-01-23,-33.9981,18.4755,27.0,0.0,11.4
Gaddafi Stadium,2007-10-29,31.5299,74.344,23.7,0.0,4.7
"County Ground, Chelmsford",2023-05-09,51.7528,0.9222,14.6,10.7,14.6
Harare Sports Club,2004-05-25,-17.815,31.0456,15.1,,
"The Wanderers Stadium, Johannesburg",2022-02-06,-26.2047,27.9795,17.9,0.5,14.3
"Bundaberg Rum Stadium, Cairns",2003-08-03,-16.9213,145.7634,,,
"County Ground, Bristol",2021-09-16,51.4514,-2.5861,16.4,0.2,9.2
Reliance Stadium,2018-03-12,19.1243,72.8818,31.3,,11.0
Allan Border Field,2019-10-05,-18.9389,149.1644,,,
"Basin Reserve, Wellington",2022-03-30,-41.3083,174.7767,15.6,0.0,18.5
"Shere Bangla National Stadium, Mirpur",2023-07-22,23.8233,90.3917,31.3,0.0,13.2
New Wanderers Stadium,2009-09-25,-18.9389,30.7545,,,
"ICC Academy, Dubai",2024-04-11,25.0758,55.165,29.4,0.0,12.2
McLean Park,2010-02-05,-40.7122,176.8478,,,
"Queens Sports Club, Bulawayo",2024-11-26,-20.1508,28.5786,21.6,,11.8
Zahur Ahmed Chowdhury Stadium,2014-11-23,22.3911,91.8161,23.9,0.0,
"Civil Service Cricket Club, Stormont, Belfast",2021-09-13,54.6024,-5.9337,14.3,2.4,9.9
Diamond Oval,2018-02-07,-28.7297,24.7619,23.5,2.0,11.1
Saxton Oval,2015-03-05,18.5569,73.8287,22.4,,
Western Australia Cricket Association Ground,2010-01-29,-31.9286,115.8628,30.4,0.0,25.8
Rangiri Dambulla International Stadium,2016-08-28,7.89,80.8,,,
Lord's,2013-05-31,51.5311,-0.2008,15.4,0.5,14.4
"Kingsmead, Durban",2003-03-15,-29.8589,31.0311,25.5,0.0,10.8
Headingley,2015-09-11,53.8067,-1.5425,13.6,,19.9
Boland Park,2016-10-19,-26.12,28.1,15.9,7.1,4.7
"Providence Stadium, Guyana",2022-07-16,6.81,-58.1628,28.3,28.2,7.2
County Ground,2007-08-24,51.4729997747,-2.58382433136,16.9,,12.3
Harare Sports Club,2003-11-30,-17.815,31.0456,17.6,11.9,
The Wanderers Stadium,2005-01-30,-26.2044,28.0436,18.4,0.0,3.6
Melbourne Cricket Ground,2014-01-12,-37.822,144.9635,17.1,0.0,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2020-02-26,6.9389,81.0331,14.8,0.0,
New Wanderers Stadium,2009-09-26,-18.9389,30.7545,,,
FTZ Sports Complex (BOI),2019-03-21,,,,,
"Seddon Park, Hamilton",2024-04-07,-37.7833,175.2786,,,
ICC Academy,2017-12-06,18.9389,72.8258,24.4,54.1,11.2
"Tribhuvan University International Cricket Ground, Kirtipur",2022-11-16,27.6983,85.3109,15.1,0.0,6.0
"Queens Sports Club, Bulawayo",2023-06-19,-20.1508,28.5786,17.5,,8.5
"Goodyear Park, Bloemfontein",2003-03-03,-29.1167,26.2167,25.9,,
Tribhuvan University International Cricket Ground,2020-02-11,27.7111,85.3326,10.9,0.0,6.2
"MA Chidambaram Stadium, Chepauk",2011-03-20,13.0484,80.2116,27.6,,
Sinhalese Sports Club Ground,2005-08-31,6.9273,79.8597,,,
Galle International Stadium,2023-06-30,6.9289,80.2192,,,
"SuperSport Park, Centurion",2003-03-07,-25.7906,28.2328,23.2,0.0,
"Shere Bangla National Stadium, Mirpur",2018-01-27,23.8233,90.3917,18.1,0.0,9.5
Kingsmead,2005-11-04,-29.8567,31.0269,19.4,0.0,10.9
Shere Bangla National Stadium,2013-10-29,23.75,90.4,27.2,,8.0
Holkar Cricket Stadium,2015-10-14,23.0206,75.8726,29.2,,
"VRA Ground, Amstelveen",2023-07-07,52.2928,4.9175,20.3,0.0,12.8
Bert Sutcliffe Oval,2016-11-13,-18.1422,145.7717,,0.2,
"Sabina Park, Kingston",2007-03-13,18.4814,-76.8008,,,
Eden Gardens,2017-01-22,22.5411,88.3628,19.2,,6.7
Sheikh Zayed Stadium,2013-11-06,24.4361,54.3896,27.7,,10.2
Gaddafi Stadium,2007-10-20,31.5299,74.344,24.3,0.0,3.5
Galle International Stadium,2018-09-13,6.9289,80.2192,,,
Lord's,2005-07-02,51.5311,-0.2008,18.6,,12.4
Westpac Stadium,2006-02-18,-41.2885,174.7806,17.9,0.0,18.4
Sophia Gardens,2013-06-20,51.4883,-3.1917,15.4,,14.1
"Queens Sports Club, Bulawayo",2023-07-06,-20.1508,28.5786,12.9,,15.5
Dubai International Cricket Stadium,2022-03-22,18.9389,72.8258,28.8,0.0,7.1
Queens Sports Club,2009-08-11,-20.1692,28.5869,,,
Hagley Oval,2015-02-23,-43.5328,172.6389,17.1,0.3,14.6
Harare Sports Club,2015-10-13,-17.815,31.0456,25.6,,
"University Oval, Dunedin",2022-03-07,-45.8722,170.5025,13.3,4.7,11.4
Hagley Oval,2016-12-26,-43.5328,172.6389,14.3,0.0,13.6
Shere Bangla National Stadium,2015-11-09,23.75,90.4,24.3,0.0,4.4
"New Wanderers Stadium, Johannesburg",2003-03-23,-26.2044,27.9506,16.6,5.1,18.3
"Buffalo Park, East London",2003-03-15,-33.0247,27.9142,15.9,7.6,
"The Village, Malahide",2019-05-17,53.4071,-6.1826,10.1,0.6,14.6
Pallekele International Cricket Stadium,2024-10-26,7.4833,80.65,24.3,20.7,11.6
"The Village, Malahide, Dublin",2022-07-15,53.4036,-6.1604,16.8,0.0,16.0
"M Chinnaswamy Stadium, Bengaluru",2024-06-23,12.9699,77.6012,23.7,1.3,15.8
Kennington Oval,2019-06-05,51.48,-0.1195,16.0,1.5,14.9
Sophia Gardens,2018-06-16,51.4883,-3.1917,14.3,,19.8
Shere Bangla National Stadium,2010-01-10,23.75,90.4,19.2,0.0,8.6
Dubai International Cricket Stadium,2022-04-10,18.9389,72.8258,30.4,0.0,5.3
"Sabina Park, Kingston",2007-04-24,18.4814,-76.8008,,,
"Sinovich Park, Sinoville",2007-01-24,-25.8333,28.2167,22.8,,
New Wanderers Stadium,2009-09-27,-18.9389,30.7545,,,
M Chinnaswamy Stadium,2011-03-06,12.9694,77.6044,25.3,,9.2
ICC Global Cricket Academy,2017-03-04,18.9389,72.8258,27.3,,9.0
"Saxton Oval, Nelson",2023-12-20,-41.2836,173.2849,17.3,0.0,17.2
Dubai International Cricket Stadium,2024-02-28,18.9389,72.8258,28.2,0.0,2.8
Eden Park,2015-03-14,-36.8427,174.766,21.1,0.0,9.4
Shere Bangla National Stadium,2014-11-28,23.75,90.4,20.7,0.0,0.4
Mombasa Sports Club Ground,2012-02-18,-4.0467,39.6618,27.3,,10.2
"Hazelaarweg, Rotterdam",2021-05-20,51.9287,4.4867,12.0,0.5,15.9
"Civil Service Cricket Club, Stormont, Belfast",2024-09-07,54.6024,-5.9337,17.4,0.0,11.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",2005-10-28,30.7219,76.7372,,,
Hagley Oval,2018-03-11,-43.5328,172.6389,13.4,0.0,17.9
"Wanderers Cricket Ground, Windhoek",2022-11-19,-22.5728,17.0811,24.8,0.5,12.2
Edgbaston,2006-09-10,52.4828,-1.8998,15.5,,7.8
Newlands,2020-02-04,-33.9969,18.4716,22.4,,18.1
SuperSport Park,2019-03-06,-25.7906,28.2286,23.6,0.3,9.5
"National Cricket Stadium, St George's",2013-02-22,12.0536,-61.7535,26.5,,16.5
St Lawrence Ground,2018-06-15,18.5208,73.8564,27.9,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-14,23.6344,58.5624,31.0,,10.4
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,2021-03-17,26.8411,80.9688,25.4,,5.4
Kennington Oval,2017-06-11,51.48,-0.1195,19.3,0.0,24.1
"Queen's Park Oval, Port of Spain",2008-04-12,10.6936,-61.5215,25.8,3.3,7.8
Headingley,2019-06-21,53.8067,-1.5425,13.2,,13.4
St George's Park,2006-11-29,-33.9598878271,25.6059959093,21.3,,12.6
"Shere Bangla National Stadium, Mirpur",2018-01-19,23.8233,90.3917,19.7,,9.6
Basin Reserve,2021-03-26,-41.2928,174.7792,17.0,0.3,19.2
Clontarf Cricket Club Ground,2008-07-31,53.3569,-6.2042,15.5,20.1,24.9
Melbourne Cricket Ground,2011-01-16,-37.822,144.9635,18.6,0.0,
"Civil Service Cricket Club, Stormont",2019-07-04,54.6028,-5.9337,15.6,,12.2
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-29,26.8477,80.968,23.9,0.0,2.5
Trent Bridge,2008-08-26,52.9444,-1.1447,18.0,,21.3
"North Sydney Oval, Sydney",2024-02-07,-33.8472,151.2189,19.5,1.5,33.5
County Ground,2016-06-26,51.4729997747,-2.58382433136,13.6,,18.6
Manuka Oval,2020-12-02,-35.2806,149.1306,17.3,0.0,19.7
Riverside Ground,2018-06-21,18.52,73.8564,25.8,0.3,
Eden Park,2015-01-17,-36.8427,174.766,20.8,0.0,11.1
Grace Road,2017-06-27,52.6328,-1.1358,14.3,,16.5
Bellerive Oval,2018-11-11,-18.9389,147.1861,,,
"Civil Service Cricket Club, Stormont",2007-07-13,54.6028,-5.9337,13.9,0.5,8.9
Zahur Ahmed Chowdhury Stadium,2016-10-12,22.3911,91.8161,25.4,27.2,
Sharjah Cricket Stadium,2022-03-16,25.2086,55.5296,28.1,0.0,11.3
R.Premadasa Stadium,2004-08-01,6.9279,79.8611,,,
M Chinnaswamy Stadium,2011-03-13,12.9694,77.6044,25.6,,
"Vidarbha Cricket Association Stadium, Jamtha",2011-03-12,18.9389,72.8258,29.4,,
Edgbaston,2004-09-10,52.4828,-1.8998,14.8,,7.3
"Sir Vivian Richards Stadium, North Sound, Antigua",2022-09-25,17.75,-61.8,,,
Trent Bridge,2018-06-19,52.9444,-1.1447,18.2,,14.8
Kingsmead,2004-01-30,-29.8567,31.0269,21.6,38.1,7.7
Reliance Stadium,2019-10-14,19.1243,72.8818,31.4,0.0,9.1
"Gaddafi Stadium, Lahore",2022-11-09,31.5299,74.3086,20.2,0.0,1.0
Shere Bangla National Stadium,2011-03-23,23.75,90.4,,,
Rangiri Dambulla International Stadium,2010-08-25,7.89,80.8,,,
"Kensington Oval, Bridgetown, Barbados",2023-07-27,13.1036,-59.6197,28.5,2.5,27.3
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-10,23.6344,58.5624,31.6,,7.9
Kennington Oval,2019-06-15,51.48,-0.1195,16.2,0.0,14.5
"Nehru Stadium, Fatorda",2007-02-14,15.4944,73.8268,25.4,,
Adelaide Oval,2017-01-26,-34.9285,138.6007,20.3,0.0,16.4
R Premadasa Stadium,2012-06-18,6.9269,79.8612,27.9,8.9,
Melbourne Cricket Ground,2008-02-22,-37.822,144.9635,17.4,0.0,
SuperSport Park,2009-11-10,-25.7906,28.2286,22.8,0.0,
Sydney Cricket Ground,2007-02-02,-33.8688,151.2093,23.7,3.8,23.6
Kingsmead,2005-08-21,-29.8567,31.0269,16.6,1.0,8.6
Bay Oval,2014-01-28,-37.6894,176.1642,,,
Headingley,2011-07-01,53.8067,-1.5425,12.6,,12.1
Tribhuvan University International Cricket Ground,2020-02-08,27.7111,85.3326,9.7,0.0,7.5
Chevrolet Park,2013-03-10,-29.1166728666,26.203160854,20.2,,13.2
P Sara Oval,2017-02-19,18.9389,72.8258,30.0,,8.0
"Narendra Modi Stadium, Ahmedabad",2022-02-11,23.0217,72.5605,21.4,0.0,8.5
"R Premadasa Stadium, Colombo",2023-09-12,6.9271,79.8612,27.7,24.4,3.7
Providence Stadium,2013-07-14,18.9389,72.8258,28.6,15.0,
"Sportpark Maarschalkerweerd, Utrecht",2024-08-05,52.0833,5.15,19.2,0.0,8.0
Pallekele International Cricket Stadium,2022-01-18,7.4833,80.65,25.6,0.0,14.4
"MA Chidambaram Stadium, Chepauk, Chennai",2023-03-22,13.0475,80.2707,28.4,0.4,15.9
"R Premadasa Stadium, Colombo",2022-06-24,6.9271,79.8612,28.1,3.8,4.8
Seddon Park,2018-02-25,-37.6817,175.2703,,,
"Riverside Ground, Chester-le-Street",2022-07-19,54.8181,-1.6467,24.1,0.4,11.6
"M Chinnaswamy Stadium, Bengaluru",2023-10-26,12.9699,77.6012,23.6,0.0,7.7
"Sportpark Maarschalkerweerd, Utrecht",2021-06-07,52.0833,5.15,16.6,0.0,10.1
Saxton Oval,2019-01-08,18.5569,73.8287,17.9,,
Rangiri Dambulla International Stadium,2005-08-02,7.89,80.8,,,
R Premadasa Stadium,2012-07-28,6.9269,79.8612,28.2,0.0,
"Basin Reserve, Wellington",2022-03-15,-41.3083,174.7767,16.0,0.5,31.0
"Narendra Modi Stadium, Ahmedabad",2022-02-09,23.0217,72.5605,23.0,0.0,5.5
"R.Premadasa Stadium, Khettarama",2019-07-28,6.9271,79.8612,28.9,0.0,8.4
"Grange Cricket Club Ground, Raeburn Place",2016-09-10,55.95,-3.2075,13.1,,16.2
Harare Sports Club,2023-12-17,-17.815,31.0456,22.5,3.8,10.0
"Civil Service Cricket Club, Stormont",2006-06-13,54.6028,-5.9337,13.6,0.0,12.6
Melbourne Cricket Ground,2014-11-21,-37.822,144.9635,15.8,1.0,16.9
Maharashtra Cricket Association Stadium,2021-03-28,18.5239,73.8555,28.8,0.0,5.0
"Barabati Stadium, Cuttack",2003-11-06,18.9389,85.8078,,,
Lord's,2019-06-23,51.5311,-0.2008,18.6,0.0,13.4
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2022-07-31,55.9528,-3.2067,14.1,1.0,12.1
Bellerive Oval,2015-03-07,-18.9389,147.1861,,,
Pallekele International Cricket Stadium,2014-07-09,7.4833,80.65,28.3,0.0,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014-12-03,6.9389,81.0331,15.7,2.0,
Rangiri Dambulla International Stadium,2009-07-30,7.89,80.8,,,
Kingsmead,2009-04-03,-29.8567,31.0269,23.3,0.0,9.2
Brabourne Stadium,2006-10-16,18.9389,72.8258,30.6,,
"Lord's, London",2021-07-10,51.531,-0.2648,15.9,0.0,4.7
"VRA Ground, Amstelveen",2024-08-08,52.2928,4.9175,20.4,0.0,18.0
"Senwes Park, Potchefstroom",2023-03-21,-26.7186,27.1878,22.2,0.0,12.5
"The Village, Malahide, Dublin",2021-07-13,53.4036,-6.1604,15.6,0.0,14.3
Buffalo Park,2017-10-22,-33.0040233172,27.9182829935,11.3,0.0,
Westpac Stadium,2008-02-09,-41.2885,174.7806,19.4,0.0,32.5
Sharjah Cricket Stadium,2015-11-17,25.2086,55.5296,25.3,0.0,10.3
"Kensington Oval, Bridgetown, Barbados",2024-11-06,13.1036,-59.6197,29.5,1.8,20.4
The Wanderers Stadium,2019-01-27,-26.2044,28.0436,19.2,,5.1
Old Trafford,2019-06-22,53.4627,-2.291,16.1,,6.3
"St George's Park, Port Elizabeth",2003-03-02,-33.9814,25.5796,22.4,0.0,
Maharashtra Cricket Association Stadium,2018-10-27,18.5239,73.8555,24.8,,
Seddon Park,2015-02-15,-37.6817,175.2703,,,
Kennington Oval,2008-06-25,51.48,-0.1195,18.6,0.0,22.2
"Sir Vivian Richards Stadium, North Sound",2007-04-08,17.7411,-61.8487,,,
Dubai International Cricket Stadium,2015-01-12,18.9389,72.8258,24.8,,
Shere Bangla National Stadium,2012-03-11,23.75,90.4,27.7,,6.4
Castle Avenue,2019-05-07,53.3455,-6.2762,8.2,2.2,11.0
"R.Premadasa Stadium, Khettarama",2018-10-23,6.9271,79.8612,26.9,73.7,2.8
Shere Bangla National Stadium,2011-02-25,23.75,90.4,23.0,,5.8
"Beausejour Stadium, Gros Islet",2009-07-05,14.0031,-60.9786,,,
Queenstown Events Centre,2011-01-26,-45.0311,168.6628,,,
Rawalpindi Cricket Stadium,2020-11-03,33.5833,73.05,16.9,,5.1
Keenan Stadium,2006-04-12,37.8281,-84.5007,19.4,0.0,24.8
R Premadasa Stadium,2011-03-01,6.9269,79.8612,28.2,0.0,
"Sardar Patel Stadium, Motera",2011-12-05,18.9389,72.8258,27.4,,
"Arnos Vale Ground, Kingstown",2005-05-18,13.1333,-61.2,,,
"Kensington Oval, Bridgetown",2009-03-27,13.1039,-59.6178,25.4,,29.3
Nehru Stadium,2010-11-28,18.9389,72.8258,28.2,,
Dubai International Cricket Stadium,2011-11-18,18.9389,72.8258,28.2,,
Lord's,2004-09-05,51.5311,-0.2008,22.0,0.0,10.0
North-West University No1 Ground,2017-05-19,,,,,
Western Australia Cricket Association Ground,2009-01-30,-31.9286,115.8628,25.6,0.0,12.6
Harare Sports Club,2022-08-18,-17.815,31.0456,18.9,0.0,10.0
AMI Stadium,2008-02-23,-43.5389,172.6361,19.2,0.0,25.1
Goodyear Park,2006-09-15,18.9389,72.8258,27.2,,
Senwes Park,2015-08-23,-26.7036,27.9122,,,
"Sir Vivian Richards Stadium, North Sound",2011-06-13,17.7411,-61.8487,,,
